name,category,address,lat,lon
Pis - Museu Habitatge 1/11,Museu,Passeig de Torras i Bages 91.0 ,41.44097555447716,2.190352662404392
"Àntic Edifici de Catalana de Gas i Electricitat, SA",otro,Av Portal de l'Àngel 20.0 ,41.385810987300985,2.173038152640421
Sala Lliure de Gràcia,otro,C Montseny 47.0 ,41.40276104987048,2.156031064034744
Viaducte de Vallcarca,otro,C Gomis 2.0 ,41.41181800039176,2.1432697424292484
Casa Muntadas,otro,Av Tibidabo 48.0 ,41.41526572017423,2.1332147546001883
Fossar de les Moreres,otro,Pl Fossar de les Moreres 1.0 ,41.38365386571088,2.1824151631724544
Edifici Alhambra,otro,C Berlinès 5.0 ,41.403617178236445,2.1397153048637696
El Farró a través del carrer Saragossa,otro,C Saragossa 1.0 ,41.40089932712729,2.150867135716541
La plaça de Sarrià,otro,Pl Sarrià nan ,41.39981901760965,2.122029074017245
La Torre d'Aigües de Josep Amargós,otro,Carretera de Vallvidrera al Tibidabo 107.0 107.0,41.42297808783552,2.118943948440615
Colònia Busquets,otro,Ctra Església 2.0 ,41.41369557781432,2.104502955711604
Fàbrica Sanchís,otro,Pg Enric Sanchis 21.0 ,41.434973842831134,2.205388440533967
Museu Egipci de Barcelona,Museu,Carrer de València 284.0 ,41.39365756520606,2.1647541605952405
Parc de la Ciutadella,Parc,Passeig de Picasso 21.0 ,41.38633657544665,2.185381778970792
Jardins de Ramon Margalef i López,Jardins,Av Estadi 42.0 ,41.36609351846864,2.152965473661524
Parc del Castell de l'Oreneta,Parc,C Montevideo 45.0 ,41.39940218424315,2.112199777559347
Turó Park - Parc del Poeta Eduard Marquina,Parc,Av Pau Casals 19.0 ,41.39410523623182,2.1419158924657906
Centre Educatiu Jesús i Maria *Passeig Sant Gervasi,Centre,Pg Sant Gervasi 15.0 ,41.40962676260745,2.1321227367298
Temple Expiatori de la Sagrada Família - Basílica,otro,Carrer de Provença 450.0 ,41.403953130630256,2.173925859874078
Carrer Major de Sarrià,otro,C Major de Sarrià 1.0 ,41.39599155894147,2.1251530428320944
Casa Fornells,otro,Av Tibidabo 35.0 ,41.41373899158243,2.134298941292163
El barri de la Mercè,otro,C Torrent de les Roses 1.0 ,41.388936898572986,2.1055266224814213
Mercat Sant Andreu,Mercat,Plaça del Mercadal 41.0 41.0,41.43489312913732,2.1883934902332927
Centre Excursionista Els Blaus,Centre,Cornet i Mas 15.0 ,41.39817327414662,2.123617721295924
Casa Marsans - Alberg Mare de Déu de Montserrat - AJ000084,otro,Pg Mare de Déu del Coll 41.0 ,41.41618949683218,2.14686630713938
Platja de Sant Sebastià,Platja,Passeig Marítim de la Barceloneta - Oriol Bohigas 2.0 ,41.373706513534366,2.1896792006250663
Platja de la Nova Icària,Platja,Pg Marítim de Nova Icària 60.0 ,41.39076474300676,2.2028838890750646
El Parc del Fòrum,Parc,Pl Fòrum 1.0 ,41.41106682138965,2.221714876463801
Casa Vicens,otro,C Carolines 18.0 ,41.4035372452986,2.1505869815611334
Palau Güell,Palau,Carrer Nou de la Rambla 3.0 ,41.379087185159,2.174439557713116
Edifici Gas Natural,otro,Pl Gas 1.0 ,41.38319342524216,2.190154390019234
Tinta Invisible Edicions,otro,C Lleó 6.0 ,41.3820675489832,2.165078437655472
Restaurant Casa Trampa,Restaurant,Pl Vallvidrera 3.0 ,41.41319781754193,2.104516277534671
Museu de la Xocolata,Museu,Carrer del Comerç 36.0 ,41.38741922402338,2.181725967522791
Escola Josep Maria Jujol,Escola,C Riera de Sant Miquel 39.0 ,41.39821515341866,2.1558975483762164
Centre Cívic Casinet d'Hostafrancs,Centre,Carrer del Rector Triadó 53.0 ,41.37785807405671,2.1432215181756806
Portal Casa Miralles,otro,Pg Manuel Girona 55.0 ,41.39211337098168,2.1274984374334376
Disseny Hub Barcelona,otro,Plaça de les Glòries Catalanes 37.0 ,41.402601111692825,2.1880498461023428
Masia de Can Baró,otro,Pl Can Baró 1.0 ,41.41656209133623,2.1620938107713417
Pla de Montbau,otro,Pla Montbau 6.0 ,41.430681496366894,2.1427060165365965
Cases Francesc Farreras,otro,G.V. Corts Catalanes 536.0 ,41.382555032109934,2.159551767559708
Casa Pomar,otro,C Girona 86.0 ,41.39563961765683,2.170281440902392
Parròquia de Sant Ramon Nonat,Parròquia,Av Sant Ramon Nonat 1.0 ,41.37603719947376,2.11709281902244
Base Nàutica Municipal de la Mar Bella,otro,Pg Marítim del Bogatell 102.0 ,41.39653535209156,2.2097712400521687
Institut Vila de Gràcia,otro,C Riera de Sant Miquel 58.0 ,41.3986014146248,2.155368115677565
Pavelló de la República,otro,C Jorge Manrique 9.0 ,41.43084548288972,2.151482356409003
